conversation_id,created_at,author_id,referenced_tweets
1058959168734932993,2022-07-04 14:04:45+00:00,2921780255,[<ReferencedTweet id=1058959168734932993 type=replied_to]
1308275337554321408,2022-07-05 04:02:30+00:00,1504845261771882500,[<ReferencedTweet id=1308275337554321408 type=replied_to]
1385378046031523840,2022-07-05 04:27:46+00:00,1504845261771882500,[<ReferencedTweet id=1385378046031523840 type=replied_to]
1437515369862811648,2022-07-03 04:47:04+00:00,1367546240167272448,[<ReferencedTweet id=1437515595185000449 type=replied_to]
1466517852563902470,2022-07-04 23:15:11+00:00,3414241371,[<ReferencedTweet id=1466517852563902470 type=replied_to]
1481007121361784834,2022-07-03 13:57:23+00:00,1174280590788444161,[<ReferencedTweet id=1481007121361784834 type=replied_to]
1491139333314990080,2022-07-04 15:22:19+00:00,1361756818159128577,[<ReferencedTweet id=1491139333314990080 type=replied_to]
1491574992420622337,2022-07-04 21:26:10+00:00,1463498352297852940,[<ReferencedTweet id=1491574992420622337 type=replied_to]
1517596909250166791,2022-07-05 04:21:11+00:00,1318990732917678081,[<ReferencedTweet id=1517596909250166791 type=replied_to]
1519384824770879489,2022-07-03 07:32:00+00:00,1534370920801902593,[<ReferencedTweet id=1519384824770879489 type=replied_to]
1530308260229746693,2022-07-05 01:18:14+00:00,1462862460130500608,[<ReferencedTweet id=1530308260229746693 type=replied_to]
1531015764211286017,2022-07-04 16:06:29+00:00,1217965327776198657,[<ReferencedTweet id=1531073387929427969 type=replied_to]
1531819468992700418,2022-07-03 00:36:23+00:00,1391011278496444417,[<ReferencedTweet id=1531819468992700418 type=replied_to]
1533861178442756097,2022-07-04 20:43:31+00:00,1350771913723932672,[<ReferencedTweet id=1533861178442756097 type=replied_to]
1533946584018345986,2022-07-05 10:50:06+00:00,91982897,[<ReferencedTweet id=1533964373240299524 type=replied_to]
1534730212356792320,2022-07-04 22:10:51+00:00,449138842,[<ReferencedTweet id=1542866961058627589 type=replied_to]
