created_at,author_id,conversation_id,referenced_tweets
2022-08-11 23:58:40+00:00,1551171322281164801,1326321914009309188,[<ReferencedTweet id=1326321914009309188 type=replied_to]
2022-08-11 05:22:07+00:00,4410292469,1363885757300105226,[<ReferencedTweet id=1363885905107447808 type=replied_to]
2022-08-12 00:01:09+00:00,56733955,1419577807739424768,[<ReferencedTweet id=1557839900019691520 type=replied_to]
2022-08-11 18:37:49+00:00,1502409266245816326,1471612183075340297,[<ReferencedTweet id=1557794977354326022 type=replied_to]
2022-08-11 12:22:36+00:00,1337389128170819592,1531610221243670530,[<ReferencedTweet id=1531610221243670530 type=replied_to]
2022-08-11 19:14:30+00:00,1100549472541655040,1537124491893133312,[<ReferencedTweet id=1537124491893133312 type=replied_to]
2022-08-11 05:54:55+00:00,1090494258228981760,1546170725924487177,[<ReferencedTweet id=1546170725924487177 type=replied_to]
2022-08-11 05:49:13+00:00,1090494258228981760,1546219464676577281,[<ReferencedTweet id=1546219464676577281 type=replied_to]
2022-08-11 07:53:21+00:00,1090494258228981760,1548404140392427520,[<ReferencedTweet id=1548472505207177219 type=replied_to]
2022-08-12 00:45:14+00:00,56733955,1552060580105752583,[<ReferencedTweet id=1557890431312175107 type=replied_to]
2022-08-11 07:52:15+00:00,1090494258228981760,1552412716257595393,[<ReferencedTweet id=1552412716257595393 type=replied_to]
2022-08-11 14:20:40+00:00,142499519,1554244484703166464,[<ReferencedTweet id=1557732786584559616 type=replied_to]
2022-08-12 18:03:16+00:00,190494593,1554402669804097545,[<ReferencedTweet id=1554402669804097545 type=replied_to]
2022-08-12 10:47:33+00:00,1502339313954078724,1554548988216426496,[<ReferencedTweet id=1554548988216426496 type=replied_to]
2022-08-11 02:57:29+00:00,53799378,1554851943402676224,[<ReferencedTweet id=1554851943402676224 type=replied_to]
2022-08-11 06:02:10+00:00,1346585212315193349,1554883643952320515,[<ReferencedTweet id=1554883643952320515 type=replied_to]
2022-08-11 20:30:59+00:00,1329193786178670593,1554896690859098114,[<ReferencedTweet id=1554896690859098114 type=replied_to]
2022-08-12 13:35:28+00:00,1513630690235064321,1554915861412167680,[<ReferencedTweet id=1555319604402061312 type=replied_to]
2022-08-11 05:53:03+00:00,1090494258228981760,1554950883082850304,[<ReferencedTweet id=1554950883082850304 type=replied_to]
2022-08-11 07:50:40+00:00,1090494258228981760,1554984284565422082,[<ReferencedTweet id=1554984284565422082 type=replied_to]
2022-08-11 16:15:35+00:00,1521205014261387265,1555404755563941888,[<ReferencedTweet id=1555404755563941888 type=replied_to]
2022-08-11 02:11:11+00:00,1454249431,1555629215386574849,[<ReferencedTweet id=1555629215386574849 type=replied_to]
2022-08-11 17:55:42+00:00,1502409266245816326,1556268243693731841,[<ReferencedTweet id=1557774827464843265 type=replied_to]
2022-08-12 00:22:34+00:00,56733955,1556305823067947009,[<ReferencedTweet id=1557883186834726914 type=replied_to]
2022-08-12 13:13:11+00:00,1337389128170819592,1556649583157157888,[<ReferencedTweet id=1556649583157157888 type=replied_to]
2022-08-11 03:30:59+00:00,1214934575367020544,1556699998347313152,[<ReferencedTweet id=1556699998347313152 type=replied_to]
2022-08-11 00:48:26+00:00,1289535792927379457,1556716885034647554,[<ReferencedTweet id=1556716885034647554 type=replied_to]
2022-08-11 00:02:06+00:00,988972977139212288,1556720489254494208,[<ReferencedTweet id=1556720489254494208 type=replied_to]
2022-08-12 00:28:05+00:00,975823206866210816,1556741437420716037,[<ReferencedTweet id=1556741437420716037 type=replied_to]
2022-08-11 15:49:57+00:00,132186325,1556770343704043529,[<ReferencedTweet id=1556770343704043529 type=replied_to]
2022-08-11 04:21:21+00:00,55101645,1556963774783012867,[<ReferencedTweet id=1556963774783012867 type=replied_to]
2022-08-11 07:39:54+00:00,896815669009932289,1556981968587423744,[<ReferencedTweet id=1556981968587423744 type=replied_to]
2022-08-11 11:41:54+00:00,1511132895133503488,1557032170694344707,[<ReferencedTweet id=1557032170694344707 type=replied_to]
2022-08-11 12:26:54+00:00,1337389128170819592,1557050261994078209,[<ReferencedTweet id=1557050261994078209 type=replied_to]
2022-08-12 07:02:59+00:00,1427319189795217408,1557052218452369413,[<ReferencedTweet id=1557096292945461248 type=replied_to]
2022-08-11 11:42:34+00:00,1511132895133503488,1557071284042928130,[<ReferencedTweet id=1557071284042928130 type=replied_to]
2022-08-11 06:53:27+00:00,1552283183823163393,1557077683988680704,[<ReferencedTweet id=1557077683988680704 type=replied_to]
2022-08-11 06:18:20+00:00,1090494258228981760,1557084233314754560,[<ReferencedTweet id=1557084233314754560 type=replied_to]
2022-08-11 13:13:03+00:00,1518674067792052229,1557085348202692609,[<ReferencedTweet id=1557085348202692609 type=replied_to]
2022-08-11 17:40:31+00:00,1609559148,1557091361651834880,[<ReferencedTweet id=1557091361651834880 type=replied_to]
2022-08-11 15:47:04+00:00,1412195411167698944,1557106447707783170,[<ReferencedTweet id=1557106451067314176 type=replied_to]
2022-08-11 17:40:43+00:00,1104216371704008705,1557112328537137152,[<ReferencedTweet id=1557112328537137152 type=replied_to]
2022-08-11 15:57:23+00:00,56733955,1557137391965667329,[<ReferencedTweet id=1557150095182815233 type=replied_to]
2022-08-11 17:56:20+00:00,1295511565312065536,1557164936811487233,[<ReferencedTweet id=1557164936811487233 type=replied_to]
2022-08-11 22:13:26+00:00,1434192375149125638,1557169948711075846,[<ReferencedTweet id=1557169948711075846 type=replied_to]
2022-08-11 03:12:38+00:00,1354034091440664577,1557182671243165696,[<ReferencedTweet id=1557182671243165696 type=replied_to]
2022-08-11 01:19:08+00:00,1427680335492419585,1557185210273390592,[<ReferencedTweet id=1557185210273390592 type=replied_to]
2022-08-11 10:33:21+00:00,1090494258228981760,1557313369056677888,[<ReferencedTweet id=1557313369056677888 type=replied_to]
2022-08-11 11:26:02+00:00,534802889,1557322618776297472,[<ReferencedTweet id=1557322618776297472 type=replied_to]
2022-08-11 01:17:46+00:00,1462940657937387521,1557323407922003968,[<ReferencedTweet id=1557323407922003968 type=replied_to]
2022-08-11 18:05:24+00:00,1502409266245816326,1557331773515767809,[<ReferencedTweet id=1557331773515767809 type=replied_to]
2022-08-11 09:06:42+00:00,1473693689075621906,1557334472005124099,[<ReferencedTweet id=1557334472005124099 type=replied_to]
2022-08-11 14:06:32+00:00,1442954832319557632,1557336564983816193,[<ReferencedTweet id=1557336564983816193 type=replied_to]
2022-08-11 14:46:14+00:00,1539329484322705409,1557356490700242948,[<ReferencedTweet id=1557739728187047936 type=replied_to]
2022-08-11 14:44:47+00:00,1264919297928957954,1557360981403226113,[<ReferencedTweet id=1557360981403226113 type=replied_to]
2022-08-11 15:50:02+00:00,4865918908,1557362505399373824,[<ReferencedTweet id=1557362505399373824 type=replied_to]
2022-08-11 13:39:31+00:00,1011351347130716160,1557371491158790145,[<ReferencedTweet id=1557371491158790145 type=replied_to]
2022-08-11 10:58:50+00:00,1090494258228981760,1557371713821806594,[<ReferencedTweet id=1557371713821806594 type=replied_to]
2022-08-12 13:19:13+00:00,1337389128170819592,1557381266785411073,[<ReferencedTweet id=1557381266785411073 type=replied_to]
2022-08-11 14:43:30+00:00,63142666,1557381355834580993,[<ReferencedTweet id=1557381355834580993 type=replied_to]
2022-08-11 00:42:15+00:00,1548099106458910723,1557383463782825984,[<ReferencedTweet id=1557383463782825984 type=replied_to]
2022-08-11 10:40:22+00:00,1332641874499211264,1557383978348314626,[<ReferencedTweet id=1557383978348314626 type=replied_to]
2022-08-11 11:43:11+00:00,1511132895133503488,1557384252790132736,[<ReferencedTweet id=1557384252790132736 type=replied_to]
2022-08-11 05:48:44+00:00,1090494258228981760,1557390874300264449,[<ReferencedTweet id=1557390874300264449 type=replied_to]
2022-08-11 12:56:31+00:00,25310443,1557392493800558593,[<ReferencedTweet id=1557392493800558593 type=replied_to]
2022-08-11 16:35:42+00:00,362160611,1557397441506336770,[<ReferencedTweet id=1557397441506336770 type=replied_to]
2022-08-11 12:31:17+00:00,1337389128170819592,1557397504425091073,[<ReferencedTweet id=1557397504425091073 type=replied_to]
2022-08-11 07:54:06+00:00,1090494258228981760,1557401031578877952,[<ReferencedTweet id=1557401031578877952 type=replied_to]
2022-08-11 01:51:14+00:00,1289535792927379457,1557401549600612359,[<ReferencedTweet id=1557401549600612359 type=replied_to]
2022-08-11 12:20:04+00:00,46021691,1557402544434970624,[<ReferencedTweet id=1557402544434970624 type=replied_to]
2022-08-11 00:23:41+00:00,478222242,1557404718342852608,[<ReferencedTweet id=1557404718342852608 type=replied_to]
2022-08-11 17:53:22+00:00,464204620,1557405964751585284,[<ReferencedTweet id=1557405964751585284 type=replied_to]
2022-08-11 00:42:14+00:00,95900511,1557407905095340034,[<ReferencedTweet id=1557501349113335810 type=replied_to]
2022-08-11 12:30:35+00:00,1410784421343645700,1557411201113636864,[<ReferencedTweet id=1557411201113636864 type=replied_to]
2022-08-11 22:22:19+00:00,1442954832319557632,1557415221337247745,[<ReferencedTweet id=1557415221337247745 type=replied_to]
2022-08-11 03:27:10+00:00,56733955,1557415973694722055,[<ReferencedTweet id=1557415973694722055 type=replied_to]
2022-08-11 06:19:25+00:00,1090494258228981760,1557417381420584961,[<ReferencedTweet id=1557417381420584961 type=replied_to]
2022-08-11 05:31:26+00:00,1253795895713374211,1557419264117817345,[<ReferencedTweet id=1557419264117817345 type=replied_to]
2022-08-11 00:06:57+00:00,1152288287563948032,1557419497073647616,[<ReferencedTweet id=1557419497073647616 type=replied_to]
2022-08-11 01:17:26+00:00,1152288287563948032,1557419981821956097,[<ReferencedTweet id=1557419981821956097 type=replied_to]
2022-08-11 21:01:55+00:00,357538807,1557420621985898499,[<ReferencedTweet id=1557420621985898499 type=replied_to]
2022-08-11 00:59:20+00:00,1520373244221665280,1557421333130186752,[<ReferencedTweet id=1557421333130186752 type=replied_to]
2022-08-11 18:47:38+00:00,57429918,1557422446424236032,[<ReferencedTweet id=1557422446424236032 type=replied_to]
2022-08-11 17:31:04+00:00,1081985889159528448,1557424108996001793,[<ReferencedTweet id=1557442334459142145 type=replied_to]
2022-08-11 06:18:02+00:00,1090494258228981760,1557424470956064768,[<ReferencedTweet id=1557424470956064768 type=replied_to]
2022-08-11 17:39:44+00:00,1471983393583902723,1557428107560341506,[<ReferencedTweet id=1557428107560341506 type=replied_to]
2022-08-11 22:37:25+00:00,1463504739304235009,1557428795501645824,[<ReferencedTweet id=1557432104174194691 type=replied_to]
2022-08-11 13:32:40+00:00,111975135,1557432567984422913,[<ReferencedTweet id=1557432567984422913 type=replied_to]
2022-08-11 10:51:32+00:00,55607842,1557433220156850178,[<ReferencedTweet id=1557433220156850178 type=replied_to]
2022-08-11 09:36:22+00:00,46021691,1557434781314547712,[<ReferencedTweet id=1557434781314547712 type=replied_to]
2022-08-11 13:02:21+00:00,25310443,1557434838629728261,[<ReferencedTweet id=1557434838629728261 type=replied_to]
2022-08-11 11:59:35+00:00,981580118907936769,1557435920768450562,[<ReferencedTweet id=1557435920768450562 type=replied_to]
2022-08-11 17:01:32+00:00,1226552880116699136,1557437677808541698,[<ReferencedTweet id=1557437677808541698 type=replied_to]
2022-08-11 16:50:20+00:00,33299033,1557440156029931520,[<ReferencedTweet id=1557440156029931520 type=replied_to]
2022-08-11 18:35:32+00:00,242777495,1557443913459310593,[<ReferencedTweet id=1557443913459310593 type=replied_to]
2022-08-11 02:40:34+00:00,1700459161,1557446262198341633,[<ReferencedTweet id=1557446262198341633 type=replied_to]
2022-08-11 16:21:27+00:00,1152288287563948032,1557448683674865664,[<ReferencedTweet id=1557448683674865664 type=replied_to]
2022-08-12 14:57:52+00:00,120146161,1557449052874227713,[<ReferencedTweet id=1557449052874227713 type=replied_to]
2022-08-11 21:02:24+00:00,1264015259397996546,1557451914064822279,[<ReferencedTweet id=1557822613317107718 type=replied_to]
2022-08-11 12:18:52+00:00,1337389128170819592,1557452498239197185,[<ReferencedTweet id=1557452498239197185 type=replied_to]
2022-08-11 14:26:06+00:00,1392139957062574084,1557453640218075138,[<ReferencedTweet id=1557453640218075138 type=replied_to]
2022-08-11 14:10:16+00:00,1199057633459818496,1557453913254756353,[<ReferencedTweet id=1557453913254756353 type=replied_to]
2022-08-11 03:41:40+00:00,56733955,1557455739605639168,[<ReferencedTweet id=1557455739605639168 type=replied_to]
2022-08-11 00:44:12+00:00,1289535792927379457,1557456288744890368,[<ReferencedTweet id=1557456288744890368 type=replied_to]
2022-08-11 01:30:05+00:00,354642467,1557456619222581249,[<ReferencedTweet id=1557456619222581249 type=replied_to]
2022-08-11 14:55:09+00:00,1058015282806046720,1557457478245285895,[<ReferencedTweet id=1557457478245285895 type=replied_to]
2022-08-11 15:33:02+00:00,1552474080795844609,1557461539384434690,[<ReferencedTweet id=1557738358042152961 type=replied_to]
2022-08-11 01:08:57+00:00,1303443154952237060,1557461711963258883,[<ReferencedTweet id=1557461711963258883 type=replied_to]
2022-08-11 14:39:08+00:00,1546485375476039681,1557461986568544257,[<ReferencedTweet id=1557461986568544257 type=replied_to]
